City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Sao Felix Do Xingu,BR,72.63,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
456,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
457,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
464,Grajau,BR,72.48,overcast clouds,-5.8194,-46.1386,Hotel Confiança
466,Necochea,AR,70.25,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
468,Lamas,PE,77.47,scattered clouds,-6.4167,-76.5333,Peru Selva Tarapoto Lamas Linda
471,Gat,IL,68.4,clear sky,31.61,34.7642,OlusHome
472,Sao Filipe,CV,77.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
480,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
482,Kintampo,GH,77.36,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
484,Misratah,LY,74.84,overcast clouds,32.3754,15.0925,Almasa Hotel
485,Kattivakkam,IN,75.29,overcast clouds,13.2167,80.3167,Euronova Freezer
492,Sabang,ID,81.03,overcast clouds,5.8933,95.3214,Hotel Citra
494,Surat,IN,67.53,clear sky,21.1667,72.8333,HOTEL VETROINN SPICE
500,Kontagora,NG,75.47,overcast clouds,10.3999,5.4695,Queens Guest Inn
502,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
503,San Quintin,MX,65.84,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
505,Minab,IR,77.02,overcast clouds,27.1467,57.0801,Bam campground
506,Damietta,EG,69.69,clear sky,31.4165,31.8133,SULIMAN INN
508,Gigmoto,PH,78.78,overcast clouds,13.7796,124.39,Cj's Travellers Inn
511,Harper,LR,72.55,light rain,4.375,-7.7169,Screensaver
512,Gladstone,AU,78.73,overcast clouds,-23.85,151.25,Highpoint International Hotel
513,Odweyne,SO,70.16,broken clouds,9.4092,45.064,Eng Hiirey House
514,Mitzic,GA,69.42,light rain,0.7821,11.549,Motel Emys
518,Rawson,AR,68.29,clear sky,-43.3002,-65.1023,Hosteria Sampedro
524,Port Hedland,AU,79.72,light rain,-20.3167,118.5667,The Esplanade Hotel
525,Port Moresby,PG,80.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
526,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
531,Vao,NC,72.61,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
532,Kavaratti,IN,80.37,few clouds,10.5669,72.642,Green leaf
540,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
541,Yeppoon,AU,80.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
542,Cariati,IT,66.88,overcast clouds,39.4922,16.9594,La Residenza
543,Chokwe,MZ,75.13,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
544,Itoman,JP,75.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
545,Acarau,BR,79.74,broken clouds,-2.8856,-40.12,castelo pizzaria
547,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
549,Santa Isabel Do Rio Negro,BR,75.52,moderate rain,-0.4139,-65.0192,Hotel GSA
551,Tautira,PF,74.43,light rain,-17.7333,-149.15,Pension Oaoa
555,Mabaruma,GY,74.07,light rain,8.2,-59.7833,Monty Brooms Guest House
558,Altamira,BR,82.49,clear sky,-3.2033,-52.2064,Requinte Hotel
562,El Tocuyo,VE,75.51,broken clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
564,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
568,Moerai,PF,72.54,broken clouds,-22.4333,-151.3333,Le Manotel
570,Tambura,SS,76.44,overcast clouds,5.6,27.4667,Rikito Lodge
572,Kapit,MY,73.15,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
575,Kpandae,GH,80.98,overcast clouds,8.4689,-0.0113,Catholic Guest House
576,Alta Floresta,BR,73.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
578,Zamora,EC,77.29,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
581,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
583,Mecca,SA,76.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
584,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
587,Maunabo,PR,82.24,scattered clouds,18.0072,-65.8993,Parador Maunacaribe
589,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
592,Kindu,CD,67.06,broken clouds,-2.95,25.95,Résidence Okanda
594,Banjar,ID,76.96,overcast clouds,-8.19,114.9675,The Hamsa Resort
597,Jalu,LY,66.29,few clouds,29.0331,21.5482,صاحبة الفخامة
599,Tamandare,BR,77.36,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
600,Roura,GF,80.51,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
601,Nata,PA,77.4,moderate rain,8.3333,-80.5167,Rey David
603,Guanica,PR,83.12,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
608,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
609,Punto Fijo,VE,81.61,few clouds,11.6956,-70.1996,Santa Fe Inn Hotel
611,Pa Sang,TH,74.86,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
612,General Roca,AR,78.62,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
616,Huarmey,PE,66.78,overcast clouds,-10.0681,-78.1522,Hotel Miramar
618,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
621,Tres Arroyos,AR,80.2,few clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
623,Bundaberg,AU,78.22,broken clouds,-24.85,152.35,Takalvan Motel
631,Amahai,ID,79.16,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
634,Bac Lieu,VN,74.48,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
640,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
641,Salvador,SV,84.06,few clouds,13.8333,-88.9167,Chico's Ranch
646,Mossoro,BR,84.15,few clouds,-5.1875,-37.3442,Hotel Thermas
650,Tomatlan,MX,84.18,overcast clouds,19.9333,-105.25,El Salvial
655,Rosarito,MX,77.49,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
658,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
659,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
661,Tevaitoa,PF,77.7,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
662,Ende,ID,77.83,light rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
664,Robertsport,LR,80.49,light rain,6.7533,-11.3686,Kwepunha Retreat
669,Pundaguitan,PH,82.13,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
672,Fomboni,KM,79.25,clear sky,-12.28,43.7425,Auberge les abou
673,Awash,ET,70.2,few clouds,8.9833,40.1667,Kediga hotel
677,Aborlan,PH,77.07,overcast clouds,9.4352,118.5492,Kevina Transient House
678,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
686,Kualakapuas,ID,73.09,overcast clouds,-3.0091,114.3876,Guest House Izonk
693,Kiama,AU,75.25,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
696,Beira,MZ,77.09,clear sky,-19.8436,34.8389,Beira Terrace Hotel
697,Pangai,TO,77.77,clear sky,-19.8,-174.35,Ha'apai Beach Resort
700,Samarai,PG,84.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
701,Hualmay,PE,67.55,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
702,Xai-Xai,MZ,75.38,broken clouds,-25.0519,33.6442,Complexo da Familia
703,Tanga,TZ,75.52,light rain,-5.0667,39.1,Lulu Image Hotel
704,Viedma,AR,69.6,broken clouds,-40.8135,-62.9967,Hotel Cristal
705,Rocha,UY,70.39,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
706,Isla Mujeres,MX,77.16,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
707,Ulladulla,AU,70.14,clear sky,-35.35,150.4667,Sandpiper Motel
708,Gondanglegi,ID,74.28,broken clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
