City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Ghorawal,IN,24.7667,82.7833,56.25,50,1,1.83,clear sky
206,Katsuura,JP,35.1333,140.3,59.43,66,100,10.42,overcast clouds
207,Saldanha,ZA,-33.0117,17.9442,57.25,76,0,13.18,clear sky
208,Marsh Harbour,BS,26.5412,-77.0636,77.09,73,100,16.08,overcast clouds
209,Atar,MR,20.5169,-13.0499,72.21,37,0,10.11,clear sky
210,Lingao,CN,19.9103,109.6859,73.71,90,87,7.78,overcast clouds
211,Leningradskiy,RU,69.3833,178.4167,-9.44,98,100,8.9,overcast clouds
212,Lata,PT,40.1629,-8.3327,55.81,92,100,1.88,overcast clouds
213,Manggar,ID,-2.8833,108.2667,78.21,89,96,7.14,light rain
214,Beyla,GN,8.6833,-8.6333,70.95,49,100,1.63,overcast clouds
215,Masterton,NZ,-40.9597,175.6575,60.89,56,19,6.78,few clouds
216,Novorzhev,RU,57.0294,29.3338,24.17,92,100,8.05,light snow
217,Concordia,AR,-31.393,-58.0209,95.07,23,40,9.22,scattered clouds
218,Kargil,IN,34.5667,76.1,20.93,82,58,5.39,light snow
219,Vila Do Maio,CV,15.1333,-23.2167,77.79,71,99,22.01,overcast clouds
220,Mehamn,NO,71.0357,27.8492,37.35,81,75,6.91,broken clouds
221,Noumea,NC,-22.2763,166.4572,79.0,99,42,6.98,scattered clouds
222,Chastyye,RU,57.2888,54.9728,11.1,92,12,2.73,few clouds
223,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,100,1.14,overcast clouds
224,Magdalena,PH,14.1999,121.429,75.34,96,100,4.23,overcast clouds
225,Vuktyl,RU,63.8567,57.3094,20.48,95,100,9.55,light snow
226,Severo-Kurilsk,RU,50.6789,156.125,32.45,76,96,9.53,overcast clouds
227,Zhanakorgan,KZ,43.9098,67.2495,45.46,84,99,5.03,overcast clouds
228,Petropavlovka,RU,50.6114,105.3196,0.9,93,30,3.22,scattered clouds
229,Haines Junction,CA,60.7522,-137.5108,10.35,85,100,0.0,overcast clouds
230,Barcelona,ES,41.3888,2.159,55.54,66,20,6.91,few clouds
231,Dong Hoi,VN,17.4833,106.6,74.71,92,100,6.53,overcast clouds
232,Ipixuna,BR,-1.7625,-48.8043,79.99,75,99,5.5,overcast clouds
233,Yellowknife,CA,62.456,-114.3525,19.92,73,100,8.05,overcast clouds
234,Lamesa,US,32.7376,-101.951,43.52,32,93,9.01,overcast clouds
235,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,16,0,23.02,clear sky
236,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,88,20,8.63,few clouds
237,Onega,RU,63.9061,38.1404,19.31,90,61,3.91,broken clouds
238,Edson,CA,53.5835,-116.4356,39.34,30,0,8.05,clear sky
239,Tazovskiy,RU,67.4667,78.7,-24.2,100,82,4.97,broken clouds
240,Camp Springs,US,38.804,-76.9066,46.36,41,0,13.8,clear sky
241,Imbituba,BR,-28.24,-48.6703,71.06,71,0,16.55,clear sky
242,Nikolskoye,RU,59.7035,30.7861,22.91,79,94,7.61,overcast clouds
243,Airai,TL,-8.9266,125.4092,62.06,94,100,2.04,overcast clouds
244,Port Blair,IN,11.6667,92.75,78.84,83,20,2.3,mist
245,Bengkulu,ID,-3.8004,102.2655,73.92,91,96,5.39,overcast clouds
246,Tarko-Sale,RU,64.9225,77.785,-18.2,100,93,6.35,overcast clouds
247,Barkhan,PK,29.8977,69.5256,56.55,42,65,4.14,broken clouds
248,Hofn,IS,64.2539,-15.2082,44.94,90,100,30.8,overcast clouds
249,Muros,ES,42.7762,-9.0603,56.08,96,100,10.98,light rain
250,Manuk Mangkaw,PH,4.8,119.85,83.43,75,99,15.43,overcast clouds
251,Kribi,CM,2.95,9.9167,76.91,90,99,7.27,overcast clouds
252,Talaya,RU,61.3833,152.75,-12.23,85,100,1.34,overcast clouds
253,Carutapera,BR,-1.195,-46.02,79.23,75,16,7.47,few clouds
254,Bikaner,IN,28.0167,73.3,66.29,25,100,7.61,overcast clouds
255,Derventa,BA,44.9772,17.9103,46.15,90,100,13.06,moderate rain
256,Bicas,BR,-21.7253,-43.0594,65.7,81,100,5.1,overcast clouds
257,Orlik,RU,52.5178,99.825,-10.88,95,16,2.24,few clouds
258,Sistranda,NO,63.7256,8.834,35.56,55,0,17.76,clear sky
259,Nguru,NG,12.8791,10.4526,74.55,20,8,10.0,clear sky
260,The Valley,AI,18.217,-63.0578,82.26,74,40,12.66,scattered clouds
261,La Asuncion,VE,11.0333,-63.8628,71.33,100,67,18.41,light rain
262,Chimbote,PE,-9.0853,-78.5783,67.51,74,52,8.84,broken clouds
263,Komsomolskiy,UZ,40.4272,71.7189,45.32,87,100,4.61,fog
264,Umm Kaddadah,SD,13.6017,26.6876,67.86,21,3,12.41,clear sky
265,Santa Luzia,BR,-19.7697,-43.8514,78.94,66,20,6.91,few clouds
266,Fare,PF,-16.7,-151.0167,78.39,79,52,8.28,light rain
267,Akyab,MM,20.15,92.9,76.48,78,71,4.41,broken clouds
268,Biltine,TD,14.5333,20.9167,74.88,19,4,8.93,clear sky
269,Medicine Hat,CA,50.0501,-110.6683,31.21,60,100,14.97,overcast clouds
270,Santo Tomas,PH,14.1079,121.1414,75.56,96,100,3.69,light rain
271,Luderitz,NA,-26.6481,15.1594,62.91,67,99,24.85,overcast clouds
272,Erenhot,CN,43.6475,111.9767,23.0,35,100,1.79,overcast clouds
273,Iskateley,RU,67.6803,53.1512,34.07,97,100,13.78,overcast clouds
274,Te Anau,NZ,-45.4167,167.7167,59.2,80,100,0.83,overcast clouds
275,Key Largo,US,25.0865,-80.4473,79.0,80,100,20.71,overcast clouds
276,Dubbo,AU,-32.25,148.6167,66.33,63,0,17.27,clear sky
277,Ambilobe,MG,-13.2,49.05,73.69,79,31,3.31,scattered clouds
278,Samoded,RU,63.6083,40.5111,15.71,93,54,3.62,broken clouds
279,Aykhal,RU,66.0,111.5,-9.92,96,35,10.94,scattered clouds
280,Uglegorsk,RU,49.0833,142.0333,30.22,80,100,9.26,overcast clouds
281,Fairbanks,US,64.8378,-147.7164,22.23,84,100,3.44,overcast clouds
282,Pochutla,MX,15.7432,-96.4661,85.82,69,40,5.61,light rain
283,Laguna,US,38.421,-121.4238,66.18,28,0,1.01,clear sky
284,San Patricio,US,28.017,-97.5169,48.83,86,100,20.22,moderate rain
285,Taywarah,AF,33.35,64.4167,31.82,60,25,3.42,scattered clouds
286,Lukovetskiy,RU,64.2956,41.9211,17.94,94,92,4.38,overcast clouds
287,Strezhevoy,RU,60.7333,77.5889,3.24,92,100,11.45,overcast clouds
288,Tornio,FI,65.8481,24.1466,24.82,84,98,4.54,overcast clouds
289,Geraldton,AU,-28.7667,114.6,48.61,93,0,5.75,clear sky
290,Coihaique,CL,-45.5752,-72.0662,52.41,71,75,13.8,light intensity shower rain
291,College,US,64.8569,-147.8028,22.21,83,75,3.44,broken clouds
292,Rudnogorsk,RU,57.2639,103.7519,-5.57,100,82,2.35,broken clouds
293,Kikwit,CD,-5.041,18.8162,70.95,95,96,1.92,overcast clouds
294,Leshukonskoye,RU,64.8989,45.7622,21.81,94,44,8.57,scattered clouds
295,Yarada,IN,17.65,83.2667,72.21,56,100,8.21,overcast clouds
296,Vestmannaeyjar,IS,63.4427,-20.2734,46.58,77,99,18.01,overcast clouds
297,Ancud,CL,-41.8697,-73.8203,53.42,63,52,8.99,light rain
298,Palana,RU,59.1167,159.9667,13.39,90,98,12.3,overcast clouds
299,Nara,JP,34.6851,135.8049,54.5,85,100,6.78,overcast clouds
300,Seoul,KR,37.5683,126.9778,49.44,87,75,2.3,broken clouds
301,Shubarkuduk,KZ,49.1447,56.4872,36.1,76,91,5.21,overcast clouds
302,Reconquista,AR,-29.15,-59.65,99.72,12,44,12.55,scattered clouds
303,Fuerte Olimpo,PY,-21.0415,-57.8738,93.18,20,1,3.78,clear sky
304,Bardiyah,LY,31.7561,25.0865,69.55,36,39,11.27,scattered clouds
305,Sioux Lookout,CA,50.1001,-91.917,5.07,66,75,14.97,broken clouds
306,Gimli,CA,50.6336,-96.9907,10.42,56,100,6.91,overcast clouds
307,Adrar,MR,20.5022,-10.0711,68.77,34,0,9.91,clear sky
308,Pacific Grove,US,36.6177,-121.9166,71.28,35,0,6.91,clear sky
309,Illela,NG,13.7292,5.2975,76.78,21,99,9.22,overcast clouds
310,Puerto Leguizamo,CO,-0.1934,-74.7819,81.41,77,99,1.99,overcast clouds
311,Pisco,PE,-13.7,-76.2167,69.85,68,0,18.41,clear sky
312,Ngunguru,NZ,-35.6167,174.5,67.93,65,3,15.61,clear sky
313,Khani,GE,41.9563,42.9566,47.77,70,86,5.84,overcast clouds
314,Sevsk,RU,52.1491,34.4926,20.37,96,87,12.95,overcast clouds
315,Aleksandrovka,UA,46.8383,32.7612,39.92,85,49,6.22,scattered clouds
316,Okhotsk,RU,59.3833,143.3,4.21,72,99,6.87,overcast clouds
317,Verkhnevilyuysk,RU,63.4453,120.3167,-7.53,98,95,4.88,overcast clouds
318,Mount Gambier,AU,-37.8333,140.7667,51.44,74,12,14.16,few clouds
319,Cockburn Town,TC,21.4612,-71.1419,80.56,69,75,14.97,broken clouds
320,Dudinka,RU,69.4058,86.1778,-3.39,99,97,4.56,overcast clouds
321,Poum,NC,-20.2333,164.0167,76.84,78,74,5.82,broken clouds
322,Joshimath,IN,30.5667,79.5667,47.05,42,77,5.93,broken clouds
323,Karlovac,HR,45.4872,15.5478,43.14,96,100,1.99,moderate rain
324,Santa Rosa,PH,14.3122,121.1114,76.98,93,100,6.24,overcast clouds
325,Moba,CN,33.2288,105.0179,42.4,78,98,5.46,overcast clouds
326,Brae,GB,60.3964,-1.353,46.04,59,94,27.98,overcast clouds
327,Kuytun,RU,54.3419,101.5036,3.74,96,27,4.16,scattered clouds
328,Lavrentiya,RU,65.5833,-171.0,23.81,86,100,5.7,overcast clouds
329,Fort Saint James,CA,54.4333,-124.25,17.82,77,100,1.88,overcast clouds
330,North Platte,US,41.1239,-100.7654,37.29,39,0,11.5,clear sky
331,Coquimbo,CL,-29.9533,-71.3436,65.93,68,75,11.5,broken clouds
332,Port Hardy,CA,50.6996,-127.4199,41.18,70,100,3.44,overcast clouds
333,Asau,RO,46.4333,26.4,33.28,98,100,3.42,light snow
334,Bowen,AU,-20.0167,148.2333,81.64,73,48,12.21,scattered clouds
335,Hatillo,PR,18.4863,-66.8254,83.08,78,85,11.01,overcast clouds
336,Morant Bay,JM,17.8815,-76.4093,85.62,78,67,11.12,broken clouds
337,Gander,CA,48.9682,-54.5906,33.93,59,75,8.05,broken clouds
338,Angoche,MZ,-16.2325,39.9086,77.7,78,4,11.74,clear sky
339,Duluth,US,46.7833,-92.1066,17.56,60,40,25.32,scattered clouds
340,Mahajanga,MG,-15.7167,46.3167,78.82,89,20,3.44,few clouds
341,Fort Nelson,CA,58.8053,-122.7002,26.35,80,99,0.63,overcast clouds
342,Great Bend,US,38.3645,-98.7648,40.03,33,0,9.22,clear sky
343,Bubaque,GW,11.2833,-15.8333,83.66,60,97,11.97,overcast clouds
344,Rawah,IQ,34.4816,41.9093,61.12,51,0,7.27,clear sky
345,Alpena,US,45.0617,-83.4327,26.85,83,100,10.36,overcast clouds
346,Tori,EE,58.4825,24.8152,22.91,89,100,7.09,light snow
